#,Product,Category,Variants,Revive € (incl. VAT),Our −15% €,Our −20% €,Recommended € (.99),Undercut %,In stock @ Revive,Notes
34,Retatrutide,Metabolic / GLP,10/20/30/40/60mg,109.99,93.49,87.99,90.99,17%,Yes,Triple agonist; top demand
35,Retatrutide Pre-Mixed Cartridge,Metabolic / GLP,10/20/30/60mg,116.99,99.44,93.59,96.99,17%,Yes,Cartridge format
36,Retatrutide Reusable Pen,Metabolic / GLP,varies,187.99,159.79,150.39,154.99,18%,Yes,Pen device incl.
37,Selank,Cognitive,10mg,33.99,28.89,27.19,27.99,18%,Out,Anxiolytic research
38,Semax,Cognitive,10mg,36.99,31.44,29.59,30.99,16%,Out,Nootropic
39,Sermorelin,Growth / GHRH,5mg,39.99,33.99,31.99,32.99,18%,Out,GRF(1-29)
40,SLU-PP-322,Metabolic,60x250mcg,84.99,72.24,67.99,69.99,18%,Out,Exercise-mimetic
41,SLU-PP-332,Metabolic,-,74.99,63.74,59.99,61.99,17%,Out,Exercise-mimetic
42,SS-31 (Elamipretide),Antioxidant / Mito,10mg,39.99,33.99,31.99,32.99,18%,Out,Mitochondrial
43,SS-31 (Elamipretide),Antioxidant / Mito,50mg,139.99,118.99,111.99,115.99,17%,Out,Bulk variant
44,Syringes 20-pack,Solvents & Lab Supplies,20pk,10.99,9.34,8.79,8.99,18%,Out,Consumable
45,Syringes 40-pack,Solvents & Lab Supplies,40pk,18.99,16.14,15.19,15.99,16%,Out,Consumable
46,TB-500,Regenerative,10mg,39.99,33.99,31.99,32.99,18%,Out,Thymosin b4
47,Tesamorelin Reusable Pen,Growth / GHRH,20mg / 30mg,179.99,152.99,143.99,148.99,17%,Yes,Pen device incl.
48,Tesamorelin,Growth / GHRH,5mg / 10mg,38.99,33.14,31.19,31.99,18%,Yes,GHRH analogue
49,Tirzepatide,Metabolic / GLP,20/40/50/60mg,134.99,114.74,107.99,111.99,17%,Yes,Dual agonist; top demand
50,VIP,Neuro,5mg,42.99,36.54,34.39,35.99,16%,Out,Vasoactive intestinal peptide
51,Wolverine Blend (BPC+TB-500),Blends & Cartridges,10mg / 20mg,47.99,40.79,38.39,39.99,17%,Yes,Recovery stack
,TOTALS (base variants),,,3214.49,2732.32,2571.59,2664.49,17%,,
